fermi_energy_eV,band_gap_eV,VBM_eV,CBM_eV,dos_at_fermi,dos_bandwidth_eV,cell_volume_au3,total_energy_eV,ca_doping_frac,source,phase_stable,goldschmidt_t,energy_per_atom_eV,gap_x_interaction,fermi_gap_ratio,mean_A_electronegativity,delta_A_mismatch
9.7504,1.715,0.0,1.715,0.04,19.75,4408.498,-40208.84854691461,0.5,DFT_real,0,1.0139311700305855,-8041.769709382922,0.8575,5.685364431486881,0.945,0.0915254237288135
2.073358186561004,3.118073353581063,0.0477694285589925,3.140123384436742,0.0410618356941838,19.668792309958285,5288.682952476701,-80417.6238866833,0.0,augmented,1,1.0615418510581087,-16083.52477733666,0.0,0.6649482826411057,0.89,0.0
2.158075152424099,3.1815123243754737,-0.0752873900282083,3.2419972269871016,0.0668570175403497,19.80612730275602,5289.694645733282,-80417.43926351418,0.0,augmented,1,1.0615418510581087,-16083.487852702838,0.0,0.6783171819177358,0.89,0.0
2.181093687389253,3.1480165854274778,-0.0666224890499102,3.2315709303136204,0.0579906807314229,20.001839435130567,5289.615066740343,-80417.19990446372,0.0,augmented,1,1.0615418510581087,-16083.439980892745,0.0,0.6928467291560813,0.89,0.0
2.126401800227398,3.123156448309651,0.0024547365652835,3.132414623398768,0.0568589045643792,19.921329929185145,5289.737489167615,-80417.7135310718,0.0,augmented,1,1.0615418510581087,-16083.54270621436,0.0,0.6808500165043784,0.89,0.0
2.1020153849665126,3.2894930061565564,0.029554526566261,3.19217953606036,0.0576366814971899,20.120221176107485,5289.746600363714,-80417.75945290834,0.0,augmented,1,1.0615418510581087,-16083.551890581668,0.0,0.6390087293159432,0.89,0.0
2.092588855557844,3.2505261343174205,-0.018351130736082,3.1804795406789186,0.0696875730943396,20.28192064452413,5289.412599335575,-80417.41162333226,0.0,augmented,1,1.0615418510581087,-16083.482324666453,0.0,0.6437690777798315,0.89,0.0
2.105917503282759,3.2391551175260096,0.0068670662282552,3.259482132274262,0.0534562034465144,19.981373390535715,5291.215390576983,-80417.58045130868,0.0,augmented,1,1.0615418510581087,-16083.516090261735,0.0,0.6501438729329319,0.89,0.0
2.106073928966453,3.231402260248612,-0.0046804511683183,3.200461349649774,0.0441330541123812,19.77464983411284,5289.174629613518,-80418.39308547262,0.0,augmented,1,1.0615418510581087,-16083.678617094523,0.0,0.6517521210907052,0.89,0.0
2.0560141319307723,3.182573296553308,0.0051558791222818,3.1864351718426183,0.0264429650987264,20.472375907328704,5291.25968012289,-80417.47421390361,0.0,augmented,1,1.0615418510581087,-16083.49484278072,0.0,0.6460223518292763,0.89,0.0
2.1953745336276635,3.102263588251629,0.0943812560313002,3.151739296162473,0.0523873792529135,19.61784880245974,5290.187894095545,-80417.50401058022,0.0,augmented,1,1.0615418510581087,-16083.500802116045,0.0,0.7076683729497523,0.89,0.0
2.0922654834432723,3.271387744409014,0.0049507224743628,3.173879263581125,0.0443318668219766,20.24327413178471,5289.519457970193,-80417.23939234398,0.0,augmented,1,1.0615418510581087,-16083.447878468796,0.0,0.6395649208670388,0.89,0.0
2.1611355896415967,3.033128613765387,0.0566463193650517,3.303021134922235,0.0525200376120192,20.179725255588448,5291.21020532437,-80417.83483498682,0.0,augmented,1,1.0615418510581087,-16083.566966997363,0.0,0.712510134691778,0.89,0.0
2.1091140111768936,3.068580047037689,0.0069317514265225,3.224905599782227,0.0551616302292646,20.319627417079275,5289.398397821865,-80417.96339720755,0.0,augmented,1,1.0615418510581087,-16083.59267944151,0.0,0.687325502845351,0.89,0.0
2.194775367299568,3.184967162623629,0.0100016893656164,3.196649497913739,0.0417831917369497,20.48705876326754,5289.645498588079,-80418.26073659108,0.0,augmented,1,1.0615418510581087,-16083.652147318217,0.0,0.689104334873983,0.89,0.0
2.0774629861348624,2.999829399827447,-0.032564373249159,3.151593570107384,0.0561742863092732,19.79797572813204,5291.061003935579,-80416.99785183268,0.0,augmented,1,1.0615418510581087,-16083.399570366537,0.0,0.6925268129339446,0.89,0.0
2.12405876681438,3.1934611711139924,0.0070557248352796,3.138750752992797,0.0476622062747876,19.716868459579956,5036.2188663811485,-76583.02586294313,0.05,augmented,1,1.0567807829553566,-15316.605172588626,0.1596730585556996,0.665127267210882,0.8955,0.0368588385454425
2.1099910817986904,3.015885985104533,-0.0180615096457186,3.221124546268723,0.0498735742526026,19.75575606231737,5035.769831742637,-76584.93348955622,0.05,augmented,1,1.0567807829553566,-15316.986697911245,0.1507942992552266,0.699625381262606,0.8955,0.0368588385454425
2.0377545638657466,3.279579764160371,-0.0507831615439913,3.2419105802746127,0.0353053622534394,20.504447765137524,5034.750270077596,-76584.42407242366,0.05,augmented,1,1.0567807829553566,-15316.884814484732,0.1639789882080185,0.6213460531707462,0.8955,0.0368588385454425
2.10153066305452,3.1584650047498903,0.0071702980535652,3.2437678362260063,0.0586061323250348,20.21244923079189,5035.352729536196,-76584.38555502478,0.05,augmented,1,1.0567807829553566,-15316.877111004957,0.1579232502374945,0.6653643445565386,0.8955,0.0368588385454425
2.202455427901252,3.309988906824929,-0.0460911828160106,3.219999408188277,0.045648568612218,19.934399729823067,5034.295044842292,-76584.51820075494,0.05,augmented,1,1.0567807829553566,-15316.90364015099,0.1654994453412464,0.6653964180857375,0.8955,0.0368588385454425
2.1755777886596954,3.27290763008755,-0.124558070407573,3.275836174624897,0.0598962952290916,19.86721440870808,5036.241803543782,-76584.74193874316,0.05,augmented,1,1.0567807829553566,-15316.948387748633,0.1636453815043775,0.6647230444075974,0.8955,0.0368588385454425
2.0614872141866822,3.364854636066985,-0.0135865019934854,3.1215134169022503,0.0483669677721866,19.95142348212569,5036.7229085693725,-76584.30507092667,0.05,augmented,1,1.0567807829553566,-15316.861014185331,0.1682427318033492,0.6126524989928702,0.8955,0.0368588385454425
2.063920884427985,3.3195056145231203,0.0060395116250555,3.177498865921714,0.0605499756054161,20.03309852935504,5035.527465966679,-76584.22328494205,0.05,augmented,1,1.0567807829553566,-15316.84465698841,0.165975280726156,0.6217553161057605,0.8955,0.0368588385454425
